state,year,keyword,raw_svi,scaled_svi
US-OH,2021,Common Core,4.25,2.04
US-OH,2022,Common Core,5.5,2.6399999999999997
US-OH,2023,Common Core,5.666666666666667,2.72
US-OH,2024,Common Core,4.333333333333333,2.0799999999999996
US-OK,2010,Common Core,0.0,0.0
US-OK,2011,Common Core,10.333333333333334,3.6166666666666667
US-OK,2012,Common Core,47.166666666666664,16.508333333333333
US-OK,2013,Common Core,57.0,19.95
US-OK,2014,Common Core,50.166666666666664,17.55833333333333
US-OK,2015,Common Core,19.666666666666668,6.883333333333334
US-OK,2016,Common Core,14.25,4.9875
US-OK,2017,Common Core,9.0,3.15
US-OK,2018,Common Core,8.666666666666666,3.0333333333333328
US-OK,2019,Common Core,7.5,2.625
US-OK,2020,Common Core,5.833333333333333,2.0416666666666665
US-OK,2021,Common Core,3.0,1.0499999999999998
US-OK,2022,Common Core,3.75,1.3125
US-OK,2023,Common Core,4.416666666666667,1.5458333333333334
US-OK,2024,Common Core,3.5833333333333335,1.2541666666666667
US-OR,2010,Common Core,0.0,0.0
US-OR,2011,Common Core,11.25,4.05
US-OR,2012,Common Core,30.916666666666668,11.13
US-OR,2013,Common Core,44.833333333333336,16.14
US-OR,2014,Common Core,54.5,19.62
US-OR,2015,Common Core,54.75,19.71
US-OR,2016,Common Core,45.833333333333336,16.5
US-OR,2017,Common Core,31.333333333333332,11.28
US-OR,2018,Common Core,29.25,10.53
US-OR,2019,Common Core,27.083333333333332,9.75
US-OR,2020,Common Core,19.083333333333332,6.869999999999999
US-OR,2021,Common Core,7.666666666666667,2.76
US-OR,2022,Common Core,13.083333333333334,4.71
US-OR,2023,Common Core,11.916666666666666,4.29
US-OR,2024,Common Core,9.083333333333334,3.27
US-PA,2010,Common Core,2.0833333333333335,0.7708333333333334
US-PA,2011,Common Core,8.333333333333334,3.0833333333333335
US-PA,2012,Common Core,25.166666666666668,9.311666666666667
US-PA,2013,Common Core,53.416666666666664,19.764166666666664
US-PA,2014,Common Core,69.0,25.53
US-PA,2015,Common Core,58.083333333333336,21.490833333333335
US-PA,2016,Common Core,41.166666666666664,15.231666666666666
US-PA,2017,Common Core,27.833333333333332,10.298333333333332
US-PA,2018,Common Core,21.916666666666668,8.109166666666667
US-PA,2019,Common Core,18.833333333333332,6.968333333333333
US-PA,2020,Common Core,13.25,4.9025
US-PA,2021,Common Core,6.666666666666667,2.466666666666667
US-PA,2022,Common Core,9.333333333333334,3.4533333333333336
US-PA,2023,Common Core,8.333333333333334,3.0833333333333335
US-PA,2024,Common Core,7.75,2.8675
US-RI,2010,Common Core,1.3333333333333333,0.7999999999999999
US-RI,2011,Common Core,14.416666666666666,8.649999999999999
US-RI,2012,Common Core,38.083333333333336,22.85
US-RI,2013,Common Core,60.166666666666664,36.099999999999994
US-RI,2014,Common Core,65.66666666666667,39.4
US-RI,2015,Common Core,50.75,30.45
US-RI,2016,Common Core,40.0,24.0
US-RI,2017,Common Core,29.083333333333332,17.45
US-RI,2018,Common Core,23.833333333333332,14.299999999999999
US-RI,2019,Common Core,23.25,13.95
US-RI,2020,Common Core,14.916666666666666,8.95
US-RI,2021,Common Core,5.916666666666667,3.5500000000000003
US-RI,2022,Common Core,9.75,5.85
US-RI,2023,Common Core,7.416666666666667,4.45
US-RI,2024,Common Core,7.166666666666667,4.3
US-SC,2010,Common Core,0.0,0.0
US-SC,2011,Common Core,5.75,2.3000000000000003
US-SC,2012,Common Core,30.25,12.100000000000001
US-SC,2013,Common Core,60.666666666666664,24.266666666666666
US-SC,2014,Common Core,52.75,21.1
US-SC,2015,Common Core,27.0,10.8
US-SC,2016,Common Core,15.833333333333334,6.333333333333334
US-SC,2017,Common Core,10.0,4.0
US-SC,2018,Common Core,8.833333333333334,3.5333333333333337
US-SC,2019,Common Core,7.583333333333333,3.033333333333333
US-SC,2020,Common Core,5.333333333333333,2.1333333333333333
US-SC,2021,Common Core,2.75,1.1
US-SC,2022,Common Core,3.3333333333333335,1.3333333333333335
US-SC,2023,Common Core,3.1666666666666665,1.2666666666666666
US-SC,2024,Common Core,2.8333333333333335,1.1333333333333335
US-SD,2010,Common Core,0.0,0.0
US-SD,2011,Common Core,6.75,4.32
US-SD,2012,Common Core,35.583333333333336,22.773333333333337
US-SD,2013,Common Core,55.333333333333336,35.413333333333334
US-SD,2014,Common Core,50.916666666666664,32.586666666666666
US-SD,2015,Common Core,38.166666666666664,24.426666666666666
US-SD,2016,Common Core,25.583333333333332,16.37333333333333
US-SD,2017,Common Core,17.416666666666668,11.146666666666668
US-SD,2018,Common Core,14.666666666666666,9.386666666666667
US-SD,2019,Common Core,10.25,6.5600000000000005
US-SD,2020,Common Core,6.333333333333333,4.053333333333333
US-SD,2021,Common Core,2.0833333333333335,1.3333333333333335
US-SD,2022,Common Core,2.25,1.44
US-SD,2023,Common Core,2.5,1.6
US-SD,2024,Common Core,1.0833333333333333,0.6933333333333332
US-TN,2010,Common Core,0.3333333333333333,0.16666666666666666
US-TN,2011,Common Core,9.0,4.5
US-TN,2012,Common Core,37.083333333333336,18.541666666666668
US-TN,2013,Common Core,58.916666666666664,29.458333333333332
US-TN,2014,Common Core,53.25,26.625
US-TN,2015,Common Core,34.333333333333336,17.166666666666668
US-TN,2016,Common Core,23.75,11.875
US-TN,2017,Common Core,16.5,8.25
US-TN,2018,Common Core,12.666666666666666,6.333333333333333
US-TN,2019,Common Core,10.5,5.25
US-TN,2020,Common Core,7.25,3.625
US-TN,2021,Common Core,4.166666666666667,2.0833333333333335
US-TN,2022,Common Core,4.5,2.25
US-TN,2023,Common Core,3.3333333333333335,1.6666666666666667
